contents,key_words
"请将以下代码直接拷贝到右侧相应位置：

//计算三个正整数的平均值
double AvgCalculation(int x, int y, int z){
    return (x+y+z)/3.0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 计算正整数n与2^n的乘积
int ProductCalculation(int n){
    return (n<<n);
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 'do', 0, 0, 0, 'double', 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

#include<iostream>
using namespace std;

int main()
{
    int num;
    // 从命令行读入一个int型数值
    // 这一个数取自测试集的输入
    cin>>num;

    // 请在下面添加实现代码
    
    bool i;
    i=num&128;
    cout<<i;
    i=num&64;
    cout<<i;
    i=num&32;
    cout<<i;
    i=num&16;
    cout<<i;
    i=num&8;
    cout<<i;
    i=num&4;
    cout<<i;
    i=num&2;
    cout<<i;
    i=num&1;
    cout<<i;
    cout<<endl;
     
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 输出实型变量x和y的差的绝对值
float SubtractionOperation(float x, float y)
{
    if ( x >= y )
    {
        return  x-y;
    }
    else
    {
        return  y-x;
    }
}
","[0, 0, 0, 0, 0, 0, 0, 0, 'bool', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"请将以下代码直接拷贝到右侧相应位置：

#include<iostream>
using namespace std;

int main()
{
    int x;

    // 从命令行读入一个不大于100000的正整数
    // 这个数取自测试集的输入
    cin >> x;

    // 请在下面添加实现代码
    
    int a, b, c, d, e, f;

    if (x > 9999 && x < 100000)
    {
        a = x / 10000;
        b = (x - a * 10000) / 1000;
        c = (x - a * 10000 - b * 1000) / 100;
        d = (x - a * 10000 - b * 1000 - c * 100) / 10;
        e = x % 10;
        f = 10000 * e + 1000 * d + 100 * c + 10 * b + a;
        cout << f << "" "" << '5' << endl;
    }
    else if (x > 999 && x < 10000)
    {
        a = x / 1000;
        b = (x - a * 1000) / 100;
        c = (x - a * 1000 - b * 100) / 10;
        d = x % 10;
        f = 1000 * d + 100 * c + 10 * b + a;
        cout << f << "" "" << '4' << endl;
    }
    else if (x > 99 && x < 1000)
    {
        a = x / 100;
        b = (x - a * 100) / 10;
        c = x % 10;
        f = 100 * c + 10 * b + a;
        cout << f << "" "" << '3' << endl;
    }
    else if (x > 9 && x < 100)
    {
        a = x / 10;
        b = x % 10;
        f = 10 * b + a;
        cout << f << "" "" << '2' << endl;
    }
    else if (x <= 9 && x >= 0)
    {
        f = x;
        cout << f << "" "" << '1' << endl;
    }
    
}
","[0, 'else', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'float', 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'if', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 判断五位正整数是否是回文数
int PalindromeNumberJudge(int x)
{
    int ge, shi, qian, wan;

    if (x >= 10000 && x <= 99999)
    {
        ge = x % 10;
        wan = x / 10000;
        qian = (x % 10000) / 1000;
        shi = (x % 100) / 10;

        if (ge == wan && shi == qian)
        {
            return 1;
        }
        else
        {
            return -1;
        }
    }
    else
    {
        return 0;
    }
}
","[0, 'else', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 将键盘输入的小写字母转换为大写字母，其他字母原样输出
char LowercaseToUppercase(char c)
{
    if(c >= 97 && c <= 122)
        return (c - 32) ;
    else
        return c;
}
","[0, 'else', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

#include<iostream>
using namespace std;

int main(){
    int year,month,day;

    // 从命令行读入三个正整数
    // 这三个数取自测试集的输入
    cin>>year>>month>>day;

    // 请在下面添加实现代码
    
    if(month==1||month==2) {
        month+=12;
        year--;
    }

    int iWeek=(day+2*month+3*(month+1)/5+year+year/4-year/100+year/400)%7;

    switch(iWeek){
    case 0: cout <<""星期一""<<endl; break;
    case 1: cout <<""星期二""<<endl; break;
    case 2: cout <<""星期三""<<endl; break;
    case 3: cout <<""星期四""<<endl; break;
    case 4: cout <<""星期五""<<endl; break;
    case 5: cout <<""星期六""<<endl; break;
    case 6: cout <<""星期日""<<endl; break;
    }
     
}
","[0, 'else', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'case', 0, 0, 0, 0, 0, 0, 0, 0, 'char', 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'if', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"请将以下代码直接拷贝到右侧相应位置：

// 根据收入计算个人所得税
double TaxCalculate(double m){
    double result=0;

    if (m<=1200)
        result=0;
    else if (m<=1200+1000)
        result=(m-1200)*0.05;
    else if (m<=1200+3000)
        result=(m-1200)*0.1;
    else if (m<=1200+5000)
        result=(m-1200)*0.15;
    else if (m<=1200+10000)
        result=(m-1200)*0.2;
    else if (m>1200+10000)
        result=(m-1200)*0.3;

    return result;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'break', 0, 0, 0, 'case', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 'switch', 0, 0, 'namespace', 0]"
"本关任务对应参考代码实现如下：

// 包含标准输入输出函数库
#include <stdio.h>

// 定义main函数
int main()
{
    // 请在此添加‘重要的事情说三遍’的代码
    
    char x = getchar();
    putchar(x);
    putchar(x);
    putchar(x);
    putchar('!');
    

    return 0;
}
","[0, 'else', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'if', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'do', 0, 0, 0, 'double', 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

// 包含标准输入输出函数库
#include <stdio.h>

int main()
{
    // 声明两个整型变量，用于存储输入的两个整数
    int x, y;

    // 请在此添加你的代码，输入两个整数到x、y中，然后按要求格式输出四则运算式子
    
    scanf(""%d%d"",&x,&y);

    printf(""%5d + %-5d = %10d\n"", x, y, x + y);
    printf(""%5d - %-5d = %10d\n"", x, y, x - y);
    printf(""%5d * %-5d = %10d\n"", x, y, x * y);
    printf(""%5d / %-5d = %10d"", x, y, x / y);
    

    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'char', 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

// 包含I/O流库iostream
#include <iostream>

// 加载名字空间std
using namespace std;

int main()
{
    // 声明三个变量，分别用来存储年、月、日
    int y, m, d;

    // 请在此添加你的代码，输入你的生日，并按指定格式输出信息
    
    cin >> y >> m >> d;
    cout << ""Hello! "" << m << "" "" << d << "" "" << y;
    

    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

#include <iostream>

// 包含流操作算子库
#include <iomanip>
using namespace std;

// 定义常量PI，后面可以直接用PI代替后面的数值
#define PI 3.14159265358979323846

int main()
{
    int n;
    // 请在此添加你的代码，输入n，按不同的精度输出PI
    
    // 输入n
    cin >> n;

    // 输出PI
    cout << setiosflags(ios::fixed) << setprecision(n) << PI << endl;
    cout << setprecision(n + 1) << PI << endl;
    cout << setprecision(n + 2) << PI << endl;
    cout << setprecision(n + 3) << PI << endl;
    cout << setprecision(n + 4) << PI;
    

    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"本关任务对应参考代码实现如下：

// 包含标准输入输出函数库
#include <stdio.h>

// 定义main函数
int main()
{
    // 定义变量，m-苹果数，n-人数，x-人均苹果数
    int m, n, x;

    // 请在此添加代码，输入苹果数、人数，并计算人均苹果数
    
    scanf(""%d%d"",&m,&n);
    x = m / n;
    

    // 输出人均苹果数
    printf(""人均苹果数为：%d"",x);
    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'def', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"本关任务对应参考代码实现如下：

// 包含标准输入输出函数库
#include <stdio.h>

// 定义main函数
int main()
{
    float up, low;
    // 请在此添加代码，输入身高，计算标准身材的体重上下限
    
    float h, w;
    scanf(""%f"",&h);
    w = (h - 100) * 0.9;
    low = w * 0.9;
    up = w * 1.1;
    

    // 输出标准身材的体重上下限
    printf(""体重范围为：%.2f -- %.2f\n"",low,up);
    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

// 包含两种I/O库，可以使用任一种输入输出方式
#include <stdio.h>
#include <iostream>
using namespace std;

int main()
{
    // c-存储输入的大写字母,d-存储加密后的大写字母
    char c, d;

    // step-秘钥，往前走的步数，大于等于，小于
    int step;

    // 请在此添加代码，输入明文、秘钥，计算密文存入d中
    
    cin >> c >> step;
    d = c + step;
    d = (d > 'Z') ? (d - 26) : d;
    

    // 输出密文
    cout << d;
    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'float', 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

// 包含两种I/O库，可以使用任一种输入输出方式
#include <stdio.h>
#include <iostream>
using namespace std;

int main()
{
    // c是存储输入的字符
    char c;

    // 输入字符
    cin >> c;

    // 请在此添加代码，输出c的位二进制表示
    
    cout << (int)(bool)(c & 0x80);
    cout << (int)(bool)(c & 0x40);
    cout << (int)(bool)(c & 0x20);
    cout << (int)(bool)(c & 0x10);
    cout << (int)(bool)(c & 0x08);
    cout << (int)(bool)(c & 0x04);
    cout << (int)(bool)(c & 0x02);
    cout << (int)(bool)(c & 0x01);
    

    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'char', 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"本关任务对应的参考代码实现如下：

bool SL_InsAt(SeqList* slist, int i, T x)
// 在顺序表的位置i插入结点x, 插入d[i]之前, i的有效范围[0,plist->len]
{
    // 请在这里补充代码，完成本关任务
    
    if (i<0 || i>slist->len || slist->len==slist->max) {
        printf(""SL_InsAt(): location error, or slist full.\n"");
        return false;
    }

    for (int j=slist->len; j>=i+1; j--) {
        slist->data[j]=slist->data[j-1];
    }

    slist->data[i]=x;
    slist->len++;
    return true;
    
}

T SL_DelAt(SeqList* slist, int i)
// 删除顺序表plist的第i号结点。i的有效范围应在[0,plist->len)内，否则会产生异常或错误。要求返回被删除的数据元素的值。
{
    // 请在这里补充代码，完成本关任务
    
    if (i<0 || i>=slist->len) {
        printf(""SL_DelAt(): location error!\n"");
        SL_Free(slist);
        exit(0);
    }

    T res=slist->data[i];

    for (int j=i; j<slist->len-1; j++) {
        slist->data[j] = slist->data[j+1];
    }

    slist->len--;
    return res;
    
}

int SL_DelValue(SeqList* slist, T x)
// 删除第一个值为x的结点, 存在值为x的结点则返回结点编号, 未找到返回－1
{
    // 请在这里补充代码，完成本关任务
    
    int i=SL_FindValue(slist, x);
    if (i>=0) SL_DelAt(slist, i);
    return i;
    
}
","[0, 0, 0, 0, 0, 0, 0, 0, 'bool', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'char', 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"本关任务对应参考代码实现如下：

// 包含两种I/O库，可以使用任一种输入输出方式
#include <stdio.h>
#include <iostream>
using namespace std;

int main()
{
    int year;

    // 请在此添加代码，输入年份，并判断是否是闰年，是则输出""Yes""，否则输出""No""
    
    cin >> year;
    if ((year % 4 == 0 && year % 100 != 0) || year % 400 == 0)
        cout << ""Yes"";
    else
        cout << ""No"";
    

    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 'bool', 0, 0, 'true', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'false', 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"本关任务对应参考代码实现如下：

// 包含两种I/O库，可以使用任一种输入输出方式
#include <stdio.h>
#include <iostream>
using namespace std;

int main()
{
    // y-年，m-月,d-日，n-第几天
    int y, m, d, n;

    // 请在此添加代码，输入年月日，计算并输出这天是第几天
    
    cin >> y >> m >> d;

    n = d;
    switch(m)
    {
        case 12:
            n += 30;
        case 11:
            n += 31;
        case 10:
            n += 30;
        case 9:
            n += 31;
        case 8:
            n += 31;
        case 7:
            n += 30;
        case 6:
            n += 31;
        case 5:
            n += 30;
        case 4:
            n += 31;
        case 3:
            if((y % 4 == 0 && y % 100 != 0) || y % 400 == 0)
                n += 29;
            else
                n += 28;
        case 2:
            n += 31;
        case 1:;
    }
    

    printf(""%d-%d-%d是第%d天"",y,m,d,n);
    return 0;
}
","[0, 'else', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"
// 包含两种I/O库，可以使用任一种输入输出方式
#include <stdio.h>
#include <iostream>
using namespace std;

int main()
{
    // n-输入的数，m-重排后的数
    int n, m;

    // 请在此添加代码，输入一个小于1000的正整数，重排出最大的数存入m中
    
    cin >> n;

    int a = n % 10, b, c, t;
    n = n / 10;
    b = n % 10;
    c = n / 10;
    if (a < b)
    {
        t = a; a = b; b = t;
    }
    if (a < c)
    {
        t = a; a = c; c = t;
    }
    if (b < c)
    {
        t = b; b = c; c = t;
    }
    m = a * 100 + b * 10 + c;
    

    // 输出重排后的数
    cout << m;
    return 0;
","[0, 'else', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'case', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 'switch', 0, 0, 'namespace', 0]"
"本关任务对应参考代码实现如下：

// 包含两种I/O库，可以使用任一种输入输出方式
#include <stdio.h>
#include <iostream>
using namespace std;

int main()
{
    int n;
    // 请在此添加代码，输入一个各位数字不全相同的三位整数(也可以是位数或者两位数)，输出进入黑洞过程
    
    cin >> n;
    int k = 1;
    while(1)
    {
        int a = n % 10, b, c, t;
        n = n / 10;
        b = n % 10;
        c = n / 10;
        if(a < b)
        {
            t = a; a = b; b = t;
        }
        if(a < c)
        {
            t = a; a = c; c = t;
        }
        if(b < c)
        {
            t = b; b = c; c = t;
        }
        t = a * 100 + c - c * 100 - a;
		if(t != 495)
          cout << k << "":"" << a * 100 + b * 10 + c <<""-"" << a + b * 10 + c * 100 << ""="" << t << endl;
		if( t == 495)
		  cout << k << "":"" << a * 100 + b * 10 + c <<""-"" << a + b * 10 + c * 100 << ""="" << t << endl;
        k++;
        n = t;
        if(t == 495)
            break;
    }
    

    return 0;
}
","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'namespace', 0]"
"本关任务对应参考代码实现如下：

// 包含两种I/O库，可以使用任一种输入输出方式
#include <stdio.h>
#include <iostream>
using namespace std;

int main()
{
    int n;

    // 请在此添加代码，输入正整数n，如果n是素数则输出“Yes”，否则输出“No”
    
    cin >> n;
    if(n == 1)
    {
        cout << ""No"";
        return 0;
    }
    int flag = 1;
    for(int i = 2; i * i <= n; i++)
        if(n % i == 0)
        {
            flag = 0;
            break;
        }
    if(flag)
        cout << ""Yes"";
    else
        cout << ""No"";
    

    return 0;
}

","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'break', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'return', 0, 0, 0, 0, 0, 0, 0, 0, 'using', 0, 'if', 0, 0, 0, 0, 0, 0, 0, 'int', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'while', 0, 'namespace', 0]"
